feature,importance_mean,importance_std
hog_mean_125,0.039038792288989724,0.0
hog_std_129,0.03898209554877327,0.0
hog_std_107,0.038914395910556815,0.0
hog_mean_44,0.038672450835564705,0.0
hog_mean_55,0.038661662322551915,0.0
pose_presence_ratio,0.038534105564796604,0.0
hand_motion_mean,0.038194605923944545,0.0
hog_mean_107,0.038109893226131876,0.0
hog_mean_6,0.03794594840767264,0.0
gray_mean_p90,0.03774736855145926,0.0
gray_mean_p75,0.03758688711459432,0.0
hog_std_42,0.03748978072252997,0.0
hog_std_6,0.03743110400441527,0.0
hog_std_47,0.037388636691360874,0.0
hog_mean_63,0.03703646915747884,0.0
gray_mean_mean,0.036967434994832564,0.0
hog_mean_99,0.03677701084219069,0.0
hog_std_49,0.03644132158467361,0.0
hog_mean_71,0.03624941219577889,0.0
hog_mean_62,0.03611270865128635,0.0
motion_p90,0.036060690408589766,0.0
hog_mean_54,0.03593877208847881,0.0
hand_motion_std,0.035734018509729175,0.0
hog_mean_36,0.035723323004130475,0.0
gray_mean_p10,0.035682921277971104,0.0
gray_mean_p25,0.035546431063008956,0.0
pose_motion_std,0.035464550312105145,0.0
hog_mean_38,0.0352760675796469,0.0
hog_mean_49,0.03526808390352407,0.0
gray_middle,0.03478866448597537,0.0
hog_mean_9,0.03462456993395542,0.0
hog_mean_50,0.03392524613891407,0.0
hog_mean_114,0.033346538203634736,0.0
hand_spread_mean,0.033174968667961754,0.0
hog_mean_43,0.0330648378691582,0.0
hog_mean_37,0.03300586899025817,0.0
aspect_ratio,0.032465748310436256,0.0
hog_std_138,0.03201732894837335,0.0
hog_std_130,0.03191828285493236,0.0
hog_std_141,0.03190815261414592,0.0
hog_std_142,0.031874783927043834,0.0
pose_spread_mean,0.03129082898974136,0.0
hog_std_46,0.03127613455538676,0.0
hog_mean_56,0.03125230144265226,0.0
hog_std_128,0.03115391577257051,0.0
hog_mean_11,0.03096725061601667,0.0
hog_std_139,0.030912347915383064,0.0
hog_std_48,0.030748668181495898,0.0
hog_mean_40,0.03048460977920981,0.0
hog_std_103,0.030303165067437327,0.0
hand_spread_std,0.030181418302992924,0.0
hog_mean_128,0.029987338993570253,0.0
height,0.029551310258527495,0.0
hog_mean_138,0.02935742877672446,0.0
hog_mean_133,0.029095666665297094,0.0
hog_mean_131,0.028472304413638953,0.0
hog_mean_110,0.028311546113194495,0.0
hog_mean_142,0.028017301568624652,0.0
